Village,Mandal
Manqadu,Nagari
Melapattu,Nagari
Mittapalem,Nagari
Mudipalle,Nagari
Nagarajukuppam,Nagari
Oranthanqai Gollaluppam,Nagari
Saraswathkulasapuram,Nagari
Taduku,Nagari
Therani,Nagari
Tinuvengamambapuram,Nagari
Veerakaverirajupuram,Nagari
Velavadi,Nagari
Venkatanarasimha - Rajuvaripet,Nagari
Bairupalle,Venkatagirikota
Bodiguttapalle,Venkatagirikota
Boya Chinnaganna Palle,Venkatagirikota
Chinna Kongatam,Venkatagirikota
Chintamakulapalle,Venkatagirikota
Gonumakulapalle,Venkatagirikota
Gudipalle,Venkatagirikota
Hanumaalle,Venkatagirikota
Jounipalle,Venkatagirikota
Konerugollapalle,Venkatagirikota
Kongatam,Venkatagirikota
Kothakota,Venkatagirikota
Krishnapuram,Venkatagirikota
Kumbarlapalle,Venkatagirikota
Matriguttapalle,Venkatagirikota
Mudaramdoddi,Venkatagirikota
Nadeetheeram Dasarlapalle,Venkatagirikota
Nemipalle,Venkatagirikota
Padipalakuppam,Venkatagirikota
Paipalle,Venkatagirikota
Panuganipalle,Venkatagirikota
Paperalle,Venkatagirikota
Patrapalle,Venkatagirikota
Pedda Bharanjpalle,Venkatagirikota
S.Bandapalle,Venkatagirikota
Shunikuppam,Venkatagirikota
Thota Kanuma,Venkatagirikota
Timmala Pichigundlapalle,Venkatagirikota
Venkatagirikota,Venkatagirikota
Vibhuthiyela Nagaram,Venkatagirikota
Voou,Venkatagirikota
YaLakallu,Venkatagirikota
Ayyameddi Palle,Palamaner
Baippagari Palle,Palamaner
Chethapenta,Palamaner
Gundlapalle,Palamaner
Jagamaria,Palamaner
Jallipeta,Palamaner
Karidimaduou,Palamaner
Kolamasana Palle,Palamaner
Kurmoi,Palamaner
Moram,Palamaner
Pengara Kunta,Palamaner
Ranganayanipalle,Palamaner
Samudrapalle,Palamaner
Sree Ranga Rajouram,Palamaner
Gollapalle,Puttur
Kasambuppam,Puttur
Kumarabommarajuouram,Puttur
Nandimangalam,Puttur
Neasnur,Puttur
Parameswara Mangalam,Puttur
Sirugurajupalam,Puttur
Taduku,Puttur
Thorur,Puttur
Tiirumalakuppam,Puttur
Utharapukhandriga,Puttur
Vepagunta,Puttur
Adusupalem,Renigunta
Ammavaripatteda,Renigunta
Amasamipalle,Renigunta
Athuru,Renigunta
Balupalle,Renigunta
Dharmapuram Khandriga,Renigunta
Elamandyam,Renigunta
Erragunta,Renigunta
Erranareddipalem,Renigunta
Gajulamandyam,Renigunta
Jeepalem,Renigunta
Karakambadi,Renigunta
Kothapalem,Renigunta
Kotramangalam,Renigunta
Krishnaiah Kalva,Renigunta
Krishnapuram,Renigunta
Kurukalva,Renigunta
Mamandur,Renigunta
Moiagamudi,Renigunta
Nallapalem,Renigunta
R. Maliavaram,Renigunta
Renigunta Agraharam,Renigunta
Sanjeevaravanipatteda,Renigunta
Srinivasaudasipuram,Renigunta
Suraprakasan,Renigunta
Thandlam,Renigunta
Thathaiah Kalva,Renigunta
Thukivakam,Renigunta
Vedullacheruyu,Renigunta
Venkatapuram,Renigunta
Beripalle,Bangarupalem
Bodabandla,Bangarupalem
Gollaolle,Bangarupalem
Gundla Kattamanchi,Bangarupalem
Jambuvaripalle,Bangarupalem
Kalurupalle,Bangarupalem
Kalvamoqilappa Kandriqa,Bangarupalem
Keeramanda,Bangarupalem
Kurmaiolle,Bangarupalem
Mahasamudram,Bangarupalem
Moqili,Bangarupalem
Mothagunta,Bangarupalem
Nalagampalle,Bangarupalem
Nallangadu,Bangarupalem
Noonegundlapalle,Bangarupalem
Palamakulapalle,Bangarupalem
Paleru,Bangarupalem
Raginranipenta,Bangarupalem
Sadakuppam,Bangarupalem
Setteri,Bangarupalem
Tekumanda,Bangarupalem
Thambuganipalle,Bangarupalem
Thoompavanapalle,Bangarupalem
Thumba,Bangarupalem
Thumba Kuppam,Bangarupalem
Venkatagiri,Bangarupalem
Vepanapalle,Bangarupalem
Agraharam,Pileru
Avuvaripalle,Pileru
Bodumaluvaripalle,Pileru
Doddipalle,Pileru
Sudarevupalle,Pileru
Jandia,Pileru
Kavalipalle,Pileru
Maddelacheruvu,Pileru
Mellacheruvu,Pileru
Mudupulavemula,Pileru
Regullu,Pileru
Talupula,Pileru
Vepulabylu,Pileru
Yerrasuntiapalle,Pileru
B.Kothakota,B.Kothakota
Badikayalaoalle,B.Kothakota
Bayyapasparipalle,B.Kothakota
Beerangi,B.Kothakota
Gatuu,B.Kothakota
Gollaoalle,B.Kothakota
Gummasantudram,B.Kothakota
Kotavooru,B.Kothakota
Thummanamoutta,B.Kothakota
Apoinapalle,Peddapanjani
Battamdoddi,Peddapanjani
Bommarajuopille,Peddapanjani
Chalamangalam,Peddapanjani
Chamaneru,Peddapanjani
Gamkonda,Peddapanjani
Karasanapalle,Peddapanjani
Koglieru,Peddapanjani
Kolathur,Peddapanjani
Mudarampalle,Peddapanjani
Muthukur,Peddapanjani
Nagireddinalle,Peddapanjani
Nidigunta,Peddapanjani
Peddakappalle,Peddapanjani
Peddapanjani,Peddapanjani
Peddavelagatur,Peddapanjani
Ravalabeta,Peddapanjani
Sankaravalapeta,Peddapanjani
Sivadi,Peddapanjani
Suddagundlapalle,Peddapanjani
Thurlapalle,Peddapanjani
Veerapalle,Peddapanjani
Agarala,Chandragiri
Arepalle,Chandragiri
Bheemavaram,Chandragiri
Chandragiri,Chandragiri
Chinna Rama Puram,Chandragiri
Chintagunta,Chandragiri
Dornakambala,Chandragiri
Ithepalle,Chandragiri
Kairoadpalle,Chandragiri
Kondreddy Khandriqa,Chandragiri
Kotala,Chandragiri
Mamandur,Chandragiri
Mittapalem,Chandragiri
Munollipattukothapalle,Chandragiri
Nagapatla,Chandragiri
Narasinqa Puram,Chandragiri
Panapakam,Chandragiri
Pullalahgari Palle,Chandragiri
Ramireddi Palle,Chandragiri
... (file truncated for brevity)
